"MKZ";"AJvon";"AJbis";"Minimum";"Maximum";"Spannweite";"Steigung";"Korrelationskoeffizient";"Bestimmtheitsmaß";"Netzart";"Anzahl Fehljahre";"Anzahl unvollst. AJ";"Anzahl vollst. AJ";"GRIMM-STRELE";"GWK";"GWK25"
"49391880";1995;2025;153,33;155,63;2,3;-0,0293353;-0,588;0,347;"EZS 24";"Fehljahre: 2024/2025";2;29;-1,27544782608696;"DESN_SAL-GW-059";"DESN_SAL-GW-059"
"4939ST0001";1995;2012;142,15;145,83;3,68;0,0813903;0,651;0,424;"ohne 0";"Fehljahre:";0;18;2,21169293478261;"DESN_SAL-GW-059";"DESN_SAL-GW-059"
"4939ST0021";1995;2012;172,84;174,48;1,64;0,0123401;0,27;0,073;"ohne 0";"Fehljahre: 2003";1;17;0,75244512195122;"DESN_SAL-GW-059";"DESN_SAL-GW-059"
"4939ST0053";1995;2012;143,96;146,78;2,82;0,0360631;0,401;0,161;"ohne 0";"Fehljahre:";0;18;1,27883333333333;"DESN_SAL-GW-059";"DESN_SAL-GW-059"
"4939ST0054";1995;2012;143,92;146,75;2,83;0,0317787;0,359;0,129;"ohne 0";"Fehljahre:";0;18;1,1229222614841;"DESN_SAL-GW-059";"DESN_SAL-GW-059"
"4939ST0055";1995;2012;144,03;147,03;3;0,0279803;0,294;0,087;"ohne 0";"Fehljahre:";0;18;0,932676666666667;"DESN_SAL-GW-059";"DESN_SAL-GW-059"
"4939ST0101";1996;2012;91,98;101,1;9,12;0,4849088;0,752;0,565;"ohne 0";"Fehljahre: 1996";1;16;5,31698245614035;"DESN_SAL-GW-059";"DESN_SAL-GW-059"
"4939ST0102";1996;2012;88,71;102,79;14,08;0,668598;0,693;0,48;"ohne 0";"Fehljahre: 1996";1;16;4,74856534090909;"DESN_SAL-GW-059";"DESN_SAL-GW-059"
"4939ST0103";1996;2012;88,29;102,43;14,14;0,6734311;0,689;0,475;"ohne 0";"Fehljahre: 1996";1;16;4,76259618104668;"DESN_SAL-GW-059";"DESN_SAL-GW-059"
"4939ST0127";1995;2012;140,49;142,51;2,02;0,0068471;0,087;0,008;"ohne 0";"Fehljahre:";0;18;0,338965346534653;"DESN_SAL-GW-059";"DESN_SAL-GW-059"
"4939ST0129";1995;2012;140,18;142,29;2,11;0,0141896;0,184;0,034;"ohne 0";"Fehljahre: 2012";1;17;0,672492890995261;"DESN_SAL-GW-059";"DESN_SAL-GW-059"
